"last_name, first_name","player_id","year","ab","pa","home_run","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_hit_by_pitch","avg_swing_speed","avg_swing_length","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent"
"Thomas, Alek",677950,2024,95,103,3,".189",".358",".245","0.603","0.169",".200","0","70.9","7.1","91.2","1",26.6,7.6,7.6
"Wilson, Weston",642215,2024,88,98,3,".284",".489",".347","0.836","0.205",".386","1","72.3","7.5","89.7","19.1",35,15,11.7
"Riley, Austin",663586,2024,425,469,19,".256",".461",".322","0.783","0.205",".310","5","75.2","7.5","93.3","15.9",37.2,14.9,8.4
"Malloy, Justyn-Henry",669234,2024,202,230,8,".203",".366",".291","0.657","0.163",".297","3","69","7","87.6","18.7",31.9,10.9,6.7
"Peralta, David",444482,2023,394,422,7,".259",".381",".294","0.675","0.122",".296","2","72.1","7.3","89.3","8.2",31.1,4.9,7
"Edwards, Xavier",669364,2024,265,303,1,".328",".423",".397","0.820","0.095",".398","0","64.5","6.3","86.1","6.7",37.6,1.8,3.7
"Baddoo, Akil",668731,2023,312,357,11,".218",".372",".310","0.682","0.154",".268","0","72.2","7.6","88.1","10.8",26.5,6.2,3.5
"Turner, Justin",457759,2023,558,626,23,".276",".455",".345","0.800","0.179",".304","11","66.4","6.5","89.5","16.5",36.8,5.7,9.3
"Hoskins, Rhys",656555,2024,449,517,26,".214",".419",".303","0.722","0.205",".250","7","71.2","8.1","88.7","20.8",29.7,12.7,6.2
"Smith, Dominic",642086,2023,527,586,12,".254",".366",".326","0.692","0.112",".286","10","68.6","7","86.3","12.8",37,6.6,3.7
"Taylor, Chris",621035,2023,338,384,15,".237",".420",".326","0.746","0.183",".327","4","71.2","7.3","86.2","21.5",38.8,9.8,6.1
"Kreidler, Ryan",668952,2024,59,65,1,".119",".169",".200","0.369","0.050",".154","0","68.5","7.2","82","13.2",17.5,5,2.5
"Suárez, Eugenio",553993,2023,598,694,22,".232",".391",".323","0.714","0.159",".314","15","72.3","7.8","90.3","18.9",37.7,13.2,6.8
"Pillar, Kevin",607680,2024,284,314,8,".229",".377",".291","0.668","0.148",".271","10","69.4","7.6","84.6","17.9",36.5,3.7,7.8
"Semien, Marcus",543760,2023,670,753,29,".276",".478",".348","0.826","0.202",".291","5","68.7","7.6","88.4","19.1",37.5,6.5,6.9
"Realmuto, J.T.",592663,2024,380,413,14,".266",".429",".322","0.751","0.163",".328","5","73.2","7.6","89.2","9.4",36.9,10.4,9.7
"Rooker Jr., Brent",667670,2024,546,614,39,".293",".562",".365","0.927","0.269",".362","5","73.7","7.1","91.9","18.9",38.3,16.6,8.6
"Crews, Dylan",686611,2024,119,132,3,".218",".353",".288","0.641","0.135",".253","1","72.3","7.4","89","8.8",23.4,6.4,8.5
"Soler, Jorge",624585,2024,493,574,21,".241",".442",".338","0.780","0.201",".293","6","75.4","7.9","90.5","17.9",33.4,12.6,7.3
"Lipscomb III, Trey",702358,2024,190,211,1,".200",".232",".268","0.500","0.032",".247","2","69.8","7.7","86.5","0.7",23,0.7,3.9
"Fletcher, Dominic",666150,2024,223,241,1,".206",".256",".252","0.508","0.050",".273","3","66.7","6.5","84.4","12.1",38.7,1.8,3
"Carlson, Dylan",666185,2024,235,265,3,".209",".277",".287","0.564","0.068",".287","5","68.5","7.1","86.8","15.8",30.1,2.5,8
"Burger, Jake",669394,2023,492,540,34,".250",".518",".309","0.827","0.268",".284","12","76","7.7","91.9","12.3",33.4,16.7,6.9
"Wade, Tyler",642180,2023,51,55,0,".255",".314",".309","0.623","0.059",".342","0",,,"85.3","8.6",21.1,0,2.6
"Grossman, Robbie",543257,2023,353,420,10,".238",".394",".340","0.734","0.156",".292","2","67.1","6.5","88.2","20.2",32.3,6.8,5.7
"García, Luis",671277,2024,500,528,18,".282",".444",".318","0.762","0.162",".310","0","71.7","7.3","89.1","8.2",32.8,8,5.8
"Torres, Gleyber",650402,2023,596,672,25,".273",".453",".347","0.800","0.180",".288","3","71.6","7.3","89.7","15.1",37.3,7.9,7.5
"Duran, Jarren",680776,2024,671,735,21,".285",".492",".342","0.834","0.207",".345","6","73.6","7.6","90.8","9.5",33.8,9.3,6.2
"Naylor, Bo",666310,2023,198,230,11,".237",".470",".339","0.809","0.233",".267","1","72.1","7.3","87.7","21",37,8.2,3.4
"Shenton, Austin",668853,2024,42,50,1,".214",".405",".340","0.745","0.191",".296","0","68.9","7.2","83.9","15.5",50,3.6,7.1
"Díaz, Elias",553869,2024,325,351,6,".265",".382",".313","0.695","0.117",".317","4","73.9","7","87.1","7.6",31,4.7,4.3
"Biggio, Cavan",624415,2024,188,224,5,".197",".303",".314","0.617","0.106",".288","8","66.8","6.9","82","21.2",37.3,2.5,5.9
"Pratto, Nick",668472,2023,306,345,7,".232",".353",".307","0.660","0.121",".388","6","69.7","7.1","87.5","13.4",40.7,8.1,6.4
"Fairchild, Stuart",656413,2023,219,255,5,".228",".388",".321","0.709","0.160",".306","6","70.4","7.4","85.9","14.3",32.3,7.7,9
"Stanton, Giancarlo",519317,2023,371,415,24,".191",".420",".275","0.695","0.229",".210","2","81","8.5","93.3","12.5",27.4,15.7,6.5
"Realmuto, J.T.",592663,2023,489,540,20,".252",".452",".310","0.762","0.200",".307","9","73.5","7.6","89.8","16.7",36.2,11.2,7
"Rocchio, Brayan",677587,2023,81,86,0,".247",".321",".279","0.600","0.074",".364","0","68.1","7.1","85.8","1.5",30.9,0,5.5
"Correa, Carlos",621043,2024,319,367,14,".310",".517",".388","0.905","0.207",".343","3","74.5","7.3","90.3","8.9",34.4,9.2,7.6
"Newman, Kevin",621028,2023,225,253,3,".253",".364",".311","0.675","0.111",".280","4","66.9","6.8","86.5","12",35.4,2.5,5.1
"Laureano, Ramón",657656,2024,286,309,11,".259",".437",".311","0.748","0.178",".350","7","72.7","7.2","89.2","13.3",38.7,12.6,6.8
"Merrill, Jackson",701538,2024,554,593,24,".292",".500",".326","0.826","0.208",".318","1","72.2","7.5","90.4","14.6",39.6,11.3,7.8
"Hernández, Enrique",571771,2024,362,393,12,".229",".373",".281","0.654","0.144",".257","0","71.7","7.4","89.6","17.1",36,4.8,8
"Marte, Starling",516782,2023,315,341,5,".248",".324",".301","0.625","0.076",".303","8","70.6","7.5","88.2","6.3",30.6,5.6,5.6
"Barnhart, Tucker",571466,2023,109,123,1,".202",".257",".285","0.542","0.055",".313","1","67.3","7.3","87","16.5",30.9,1.5,1.5
"Gorman, Nolan",669357,2023,406,464,27,".236",".478",".328","0.806","0.242",".296","3","74","7.5","91","22.2",38.8,16.5,7.3
"Kepler, Max",596146,2024,368,399,8,".253",".380",".302","0.682","0.127",".300","5","71.4","7.4","88.9","16.8",35.4,6.2,7.2
"Mead, Curtis",678554,2024,122,132,1,".238",".287",".282","0.569","0.049",".304","2","74","7.3","88.8","16.3",36.6,4.3,9.7
"Thompson, Trayce",572204,2023,153,179,6,".163",".294",".285","0.579","0.131",".271","2","72.7","7.7","89.3","21.8",34.2,11.8,7.9
"Ortega, Rafael",542364,2023,114,136,1,".219",".272",".341","0.613","0.053",".300","1","69.2","7.3","86.8","10.6",30.5,0,3.7
"Ibáñez, Andy",628451,2023,356,383,11,".264",".433",".312","0.745","0.169",".300","1","69.6","7.1","89.1","12.9",33.2,9,4.8
"Santander, Anthony",623993,2024,595,665,44,".235",".506",".308","0.814","0.271",".225","7","73.1","7.2","89.8","22.7",35,11.7,9.1
"Nevin, Tyler",663527,2024,245,278,7,".204",".331",".288","0.619","0.127",".243","5","68.4","7","89.8","10.7",37,8.7,7.1
"Gordon, Nick",624503,2024,260,275,8,".227",".369",".258","0.627","0.142",".271","1","68.2","7.3","86.1","6.5",34.7,6.1,3.1
"Benson, Will",666181,2024,343,388,14,".187",".376",".274","0.650","0.189",".282","2","72.1","7.9","89.4","18.2",36.5,11.5,4.7
"Rojas, Josh",668942,2024,422,476,8,".225",".336",".304","0.640","0.111",".282","3","66.6","7.3","88.2","15.5",35.6,5.7,7.9
"Freeman, Freddie",518692,2024,542,638,22,".282",".476",".378","0.854","0.194",".306","10","69.8","6.8","89.4","14.3",43.1,9.1,8.4
"Davis, J.D.",605204,2024,142,157,4,".218",".338",".293","0.631","0.120",".273","3","72.5","7.3","89.1","2.8",24.3,8.7,5.8
"Tapia, Raimel",606132,2023,148,169,3,".236",".338",".317","0.655","0.102",".302","1","71.2","6.8","85.4","1.6",31.8,6.4,4.5
"Henderson, Gunnar",683002,2023,560,622,28,".255",".489",".325","0.814","0.234",".306","3","75.4","7.3","92","11.4",32.9,11.4,7.9
"Miller, Brad",543543,2023,56,67,1,".214",".339",".328","0.667","0.125",".244","0","71.4","7.5","87.5","7.7",26.1,6.5,2.2
"Rojas, Josh",668942,2023,314,350,4,".245",".338",".303","0.641","0.093",".313","1","67.9","7.3","87.1","13",35.6,3.8,5.9
