"last_name, first_name","player_id","year","ab","pa","home_run","k_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_hit_by_pitch","woba","avg_swing_speed","avg_swing_length","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","whiff_percent"
"Hosmer, Eric",543333,2023,94,100,2,25,".234",".330",".280","0.610","0.096",".299","0",".269",,,"85.1","3.4",23.2,5.8,0,23.6
"Iglesias, Jose",578428,2024,270,291,4,13.4,".337",".448",".381","0.829","0.111",".382","8",".362","69.8","6.8","85.8","9",36.2,2.2,4.3,15.2
"Butler, Lawrence",671732,2024,412,451,22,23.9,".262",".490",".317","0.807","0.228",".301","0",".345","74.2","7.1","91.1","11.3",35.1,11,5.8,26.9
"Shenton, Austin",668853,2024,42,50,1,28,".214",".405",".340","0.745","0.191",".296","0",".330","68.9","7.2","83.9","15.5",50,3.6,7.1,35.7
"Naylor, Bo",666310,2023,198,230,11,23,".237",".470",".339","0.809","0.233",".267","1",".347","72.1","7.3","87.7","21",37,8.2,3.4,21.8
"Burger, Jake",669394,2023,492,540,34,27.6,".250",".518",".309","0.827","0.268",".284","12",".349","76","7.7","91.9","12.3",33.4,16.7,6.9,34.1
"Stott, Bryson",681082,2023,585,640,15,15.6,".280",".419",".329","0.748","0.139",".312","7",".323","67.9","7","88.1","10.1",36.4,4.7,5.3,15.3
"Fletcher, Dominic",666150,2024,223,241,1,24.1,".206",".256",".252","0.508","0.050",".273","3",".227","66.7","6.5","84.4","12.1",38.7,1.8,3,21.2
"Harris, Brett",695391,2024,103,123,3,20.3,".146",".262",".276","0.538","0.116",".158","2",".252","70.3","7.2","87.4","12.8",26.6,5.1,2.5,23.8
"Soler, Jorge",624585,2024,493,574,21,24.6,".241",".442",".338","0.780","0.201",".293","6",".340","75.4","7.9","90.5","17.9",33.4,12.6,7.3,28.9
"Kreidler, Ryan",668952,2024,59,65,1,29.2,".119",".169",".200","0.369","0.050",".154","0",".177","68.5","7.2","82","13.2",17.5,5,2.5,32
"Reynolds, Bryan",668804,2024,622,692,24,22.5,".275",".447",".344","0.791","0.172",".330","10",".343","71.6","6.8","89.9","9.4",37.5,9.6,7.2,29.4
"Smith, Dominic",642086,2023,527,586,12,15.5,".254",".366",".326","0.692","0.112",".286","10",".306","68.6","7","86.3","12.8",37,6.6,3.7,19.9
"Paredes, Isaac",670623,2023,492,571,31,18.2,".250",".488",".352","0.840","0.238",".257","20",".362","68.1","8.1","86.9","22.2",32.4,5.9,5.9,18.2
"Crews, Dylan",686611,2024,119,132,3,19.7,".218",".353",".288","0.641","0.135",".253","1",".283","72.3","7.4","89","8.8",23.4,6.4,8.5,22.8
"Realmuto, J.T.",592663,2024,380,413,14,24.7,".266",".429",".322","0.751","0.163",".328","5",".326","73.2","7.6","89.2","9.4",36.9,10.4,9.7,26.2
"Rooker Jr., Brent",667670,2024,546,614,39,28.8,".293",".562",".365","0.927","0.269",".362","5",".392","73.7","7.1","91.9","18.9",38.3,16.6,8.6,34.1
