"last_name, first_name","player_id","year","ab","pa","home_run","k_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_hit_by_pitch","woba","avg_swing_speed","fast_swing_rate","blasts_swing","squared_up_swing","avg_swing_length","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","z_swing_percent","oz_swing_percent","iz_contact_percent","whiff_percent"
"Chisholm Jr., Jazz",665862,2024,562,621,24,24.5,".256",".436",".324","0.760","0.180",".309","4",".327","71.9",23.3,10.6,22.8,"7.5","89.7","11.4",29.6,9.7,5.8,67.1,29.2,75.2,29.3
"Iglesias, Jose",578428,2024,270,291,4,13.4,".337",".448",".381","0.829","0.111",".382","8",".362","69.8",9.2,7.2,28.5,"6.8","85.8","9",36.2,2.2,4.3,64.8,39.5,87.9,15.2
"Mead, Curtis",678554,2023,83,92,1,22.8,".253",".349",".326","0.675","0.096",".328","2",".302","71.2",17.5,6.3,18.9,"7.3","83.5","12.6",29,3.2,6.5,67.1,32.2,83.6,24.6
"Wilson, Weston",642215,2024,88,98,3,29.6,".284",".489",".347","0.836","0.205",".386","1",".358","72.3",24,10.7,24.7,"7.5","89.7","19.1",35,15,11.7,65.9,27.4,79.2,33.9
"Reynolds, Bryan",668804,2024,622,692,24,22.5,".275",".447",".344","0.791","0.172",".330","10",".343","71.6",17.1,12.7,26.7,"6.8","89.9","9.4",37.5,9.6,7.2,74,30.2,81.3,29.4
"Paredes, Isaac",670623,2023,492,571,31,18.2,".250",".488",".352","0.840","0.238",".257","20",".362","68.1",4.4,6,26.7,"8.1","86.9","22.2",32.4,5.9,5.9,66,28.3,89.2,18.2
"Belt, Brandon",474832,2023,339,404,19,34.9,".254",".490",".369","0.859","0.236",".370","2",".369","72.7",16.9,9.7,14.6,"7","88.7","19.8",44.5,15,6,67,17.9,74.3,32.5
"Caratini, Victor",605170,2023,201,226,7,19.9,".259",".383",".327","0.710","0.124",".296","3",".312","72.1",23.3,15.1,30.1,"7.1","91.3","10.8",23.3,5,3.8,65.8,22.6,84.9,21.1
"Thomas, Alek",677950,2024,95,103,3,16.5,".189",".358",".245","0.603","0.169",".200","0",".262","70.9",8.1,14.7,35.3,"7.1","91.2","1",26.6,7.6,7.6,66,30.3,83.1,25.1
"Alberto, Hanser",593643,2023,82,90,3,14.4,".220",".390",".261","0.651","0.170",".224","1",".279",,,,,,"84.3","15.5",33.3,4.2,4.2,84.6,50.3,87.3,19.8
"Naylor, Bo",666310,2023,198,230,11,23,".237",".470",".339","0.809","0.233",".267","1",".347","72.1",24.1,7.1,19.7,"7.3","87.7","21",37,8.2,3.4,66.5,23.9,84.9,21.8
"Mauricio, Ronny",677595,2023,101,108,2,28.7,".248",".347",".296","0.643","0.099",".338","0",".284","74.7",48.7,10.1,17.5,"7.7","90.7","7.6",37.1,5.7,5.7,71.8,42.4,77.9,30.9
"Yepez, Juan",660766,2023,60,65,2,30.8,".183",".300",".246","0.546","0.117",".237","1",".243","72.7",32.6,0,4.7,"7.3","80","25.2",35,7.5,2.5,68,35.7,81.6,26.1
"Thaiss, Matt",642136,2024,157,186,2,31.2,".204",".299",".323","0.622","0.095",".306","0",".286","72.4",23.5,9,18.7,"7.8","86.6","12.9",33,8,8,68.3,22,65.4,39.6
"Tellez, Rowdy",642133,2023,311,351,13,24.5,".215",".376",".291","0.667","0.161",".249","0",".288","74.5",48,16.3,25.5,"7.9","89.9","15.2",35.7,8.7,7.8,52.9,24.2,85.4,21.9
"Realmuto, J.T.",592663,2024,380,413,14,24.7,".266",".429",".322","0.751","0.163",".328","5",".326","73.2",35.7,12.8,22.5,"7.6","89.2","9.4",36.9,10.4,9.7,69.4,30.2,82.4,26.2
"Witt Jr., Bobby",677951,2024,636,709,32,15,".332",".588",".389","0.977","0.256",".354","8",".410","74.7",48.3,16.1,27.5,"7.1","92.7","15.1",35.7,14.3,5.6,72.3,32.1,84.8,22.3
"Semien, Marcus",543760,2023,670,753,29,14.6,".276",".478",".348","0.826","0.202",".291","5",".354","68.7",4.9,8.5,31.6,"7.6","88.4","19.1",37.5,6.5,6.9,72.9,21.4,88.4,18
"Lopez, Nicky",670032,2024,398,445,1,15.1,".241",".294",".312","0.606","0.053",".288","4",".275","64.2",0.5,2.5,32.3,"6.7","85","5.6",30,1.5,1.5,68.6,27.9,86,19.4
