name,year,plate_appearances,at_bats,side,avg_swing_speed,avg_swing_length,avg_batter_y_position,avg_batter_x_position,avg_foot_sep,avg_stance_angle,avg_intercept_y_vs_batter,avg_intercept_y_vs_plate,home_run,k_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,batting_average_balls_in_play,b_hit_by_pitch,woba,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,whiff_percent,hr_percent,hbp_percent,k_percent_CH,k_percent_CU,k_percent_FC,k_percent_FF,k_percent_SI,k_percent_SL,pitches_CH,pitches_CU,pitches_FC,pitches_FF,pitches_SI,pitches_SL,run_value_per_100_CH,run_value_per_100_CU,run_value_per_100_FC,run_value_per_100_FF,run_value_per_100_SI,run_value_per_100_SL,slg_CH,slg_CU,slg_FC,slg_FF,slg_SI,slg_SL,whiff_percent_CH,whiff_percent_CU,whiff_percent_FC,whiff_percent_FF,whiff_percent_SI,whiff_percent_SL,woba_CH,woba_CU,woba_FC,woba_FF,woba_SI,woba_SL,whiff_percent_change_CH,k_percent_change_CH,slg_change_CH,woba_change_CH,whiff_percent_change_CU,k_percent_change_CU,slg_change_CU,woba_change_CU,whiff_percent_change_FC,k_percent_change_FC,slg_change_FC,woba_change_FC,whiff_percent_change_FF,k_percent_change_FF,slg_change_FF,woba_change_FF,whiff_percent_change_SI,k_percent_change_SI,slg_change_SI,woba_change_SI,whiff_percent_change_SL,k_percent_change_SL,slg_change_SL,woba_change_SL
"Tovar, Ezequiel",2024.0,695,655,R,71.3,7.5,27.10560152580331,24.76370374557818,38.61516697136575,0.476735924829458,29.28394311628967,2.1783415904863475,26,28.8,0.269,0.469,0.295,0.764,0.2,0.344,4,0.324,88.8,18.9,38.5,9.0,7.7,33.5,0.03969465648854962,0.0057553956834532375,19.0,33.9,20.4,35.3,14.2,32.7,190.0,180.0,225.0,804.0,391.0,456.0,2.7,2.6,-2.3,-1.0,-0.8,1.4,0.623,0.596,0.326,0.366,0.505,0.514,30.5,45.0,24.8,35.1,21.7,38.9,0.439,0.43,0.229,0.279,0.341,0.341,-0.08955223880597014,-0.3402777777777778,0.32835820895522394,0.35493827160493824,0.34328358208955223,0.17708333333333326,0.27078891257995735,0.32716049382716045,-0.2597014925373134,-0.29166666666666674,-0.3049040511727078,-0.29320987654320985,0.04776119402985079,0.2256944444444443,-0.21961620469083154,-0.13888888888888884,-0.3522388059701493,-0.5069444444444445,0.07675906183368877,0.05246913580246918,0.16119402985074624,0.13541666666666674,0.09594882729211096,0.05246913580246918
"Ohtani, Shohei",2024.0,731,636,L,76.3,7.7,29.26982894344071,29.98709010852704,33.35563597077065,-9.306437201769612,26.899398001126663,-2.370430942314062,54,22.2,0.31,0.646,0.39,1.036,0.336,0.336,6,0.431,95.8,16.2,37.8,21.5,9.0,29.8,0.08490566037735849,0.008207934336525308,13.9,37.5,11.6,22.7,15.4,26.4,313.0,232.0,274.0,825.0,421.0,450.0,2.1,3.8,-1.0,2.2,3.0,4.0,0.631,0.745,0.5,0.604,0.579,0.826,27.9,37.4,29.3,27.9,14.1,40.1,0.422,0.475,0.367,0.432,0.451,0.491,-0.06375838926174504,-0.37387387387387383,-0.023219814241486086,-0.02088167053364271,0.2550335570469798,0.6891891891891893,0.15325077399380801,0.10208816705336424,-0.016778523489932886,-0.4774774774774775,-0.22600619195046442,-0.14849187935034802,-0.06375838926174504,0.022522522522522525,-0.06501547987616105,0.00232018561484919,-0.5268456375838927,-0.3063063063063063,-0.10371517027863786,0.0464037122969838,0.34563758389261745,0.18918918918918917,0.2786377708978327,0.13921113689095127
"Olson, Matt",2024.0,685,600,L,73.8,7.3,30.527979252992623,30.048284660812588,30.423949374024986,-8.466047866180663,33.390119156156814,2.862139903164177,29,24.8,0.247,0.457,0.333,0.79,0.21,0.293,9,0.339,91.5,16.1,35.4,12.4,7.4,26.3,0.04833333333333333,0.013138686131386862,20.6,32.7,18.9,25.5,17.9,32.2,267.0,255.0,289.0,1138.0,367.0,363.0,0.8,0.4,0.1,0.5,1.2,0.2,0.474,0.4,0.448,0.463,0.576,0.407,32.1,36.2,25.5,25.0,14.1,32.4,0.341,0.306,0.366,0.36,0.385,0.314,0.220532319391635,-0.16935483870967738,0.037199124726476934,0.005899705014749268,0.37642585551330804,0.31854838709677424,-0.12472647702407001,-0.09734513274336291,-0.03041825095057037,-0.23790322580645168,-0.019693654266958443,0.07964601769911495,-0.04942965779467683,0.028225806451612875,0.013129102844638961,0.061946902654867145,-0.46387832699619774,-0.278225806451613,0.260393873085339,0.13569321533923298,0.23193916349809876,0.2983870967741936,-0.10940919037199134,-0.07374631268436584
"Hernández, Teoscar",2024.0,652,589,R,73.2,7.8,31.17034434083252,29.346458165499424,27.27461699228037,-0.9787893082498074,29.702244044285987,-1.432055353202026,33,28.8,0.272,0.501,0.339,0.84,0.229,0.344,8,0.36,90.6,10.3,33.8,14.9,7.5,34.0,0.05602716468590832,0.012269938650306749,30.0,29.8,18.9,31.3,13.0,36.4,197.0,209.0,171.0,740.0,497.0,508.0,5.3,3.9,1.0,0.2,0.8,-0.9,0.656,0.732,0.5,0.462,0.467,0.432,42.1,31.5,36.4,31.0,17.8,45.9,0.464,0.434,0.401,0.354,0.407,0.286,0.2382352941176471,0.041666666666666644,0.30938123752495017,0.28888888888888903,-0.07352941176470588,0.034722222222222224,0.4610778443113772,0.2055555555555556,0.0705882352941176,-0.34375000000000006,-0.0019960079840319377,0.113888888888889,-0.08823529411764706,0.08680555555555555,-0.07784431137724547,-0.016666666666666684,-0.4764705882352941,-0.5486111111111112,-0.06786427145708578,0.13055555555555554,0.35,0.2638888888888888,-0.1377245508982036,-0.2055555555555556
"Adames, Willy",2024.0,688,610,R,73.6,8.1,32.247763612475694,31.60032021561088,33.719578608038624,4.054309993292143,30.36251787662213,-1.885245735853548,32,25.1,0.251,0.462,0.331,0.793,0.211,0.297,1,0.342,88.6,20.6,38.2,12.0,8.6,29.5,0.05245901639344262,0.0014534883720930232,18.9,45.9,26.5,27.0,14.9,21.7,180.0,186.0,246.0,877.0,522.0,433.0,3.2,-0.4,-1.0,-0.7,0.5,2.5,0.733,0.457,0.4,0.378,0.488,0.617,26.8,36.6,32.0,29.4,16.7,35.3,0.499,0.297,0.318,0.305,0.379,0.429,-0.09152542372881353,-0.24701195219123515,0.5865800865800864,0.45906432748538,0.24067796610169495,0.8286852589641432,-0.010822510822510832,-0.13157894736842116,0.0847457627118644,0.05577689243027883,-0.13419913419913418,-0.07017543859649128,-0.0033898305084746243,0.07569721115537842,-0.18181818181818185,-0.10818713450292407,-0.4338983050847458,-0.4063745019920319,0.0562770562770562,0.1081871345029239,0.19661016949152532,-0.13545816733067736,0.3354978354978354,0.2543859649122806
"Volpe, Anthony",2024.0,689,637,R,69.3,7.1,30.02399045009879,28.48799723431923,24.81149223263873,1.6613623193888076,26.396160823430456,-3.627829626668335,12,22.6,0.243,0.364,0.293,0.657,0.121,0.303,4,0.287,87.7,8.4,33.3,3.9,5.6,22.6,0.018838304552590265,0.005805515239477504,21.8,40.4,18.8,29.7,12.9,19.3,196.0,209.0,233.0,826.0,525.0,489.0,-2.2,-1.0,-1.7,-0.4,-0.1,-0.1,0.192,0.283,0.35,0.416,0.416,0.396,26.5,31.0,20.8,26.3,11.9,26.8,0.192,0.217,0.276,0.339,0.361,0.299,0.17256637168141586,-0.0353982300884956,-0.4725274725274725,-0.3310104529616724,0.37168141592920345,0.7876106194690263,-0.22252747252747257,-0.24390243902439018,-0.07964601769911507,-0.168141592920354,-0.0384615384615385,-0.038327526132404026,0.16371681415929198,0.3141592920353981,0.14285714285714285,0.18118466898954722,-0.47345132743362833,-0.42920353982300885,0.14285714285714285,0.25783972125435545,0.18584070796460173,-0.14601769911504428,0.08791208791208799,0.04181184668989551
"Perez, Salvador",2024.0,652,590,R,73.2,7.9,29.511970118892005,27.198140724075078,34.753569078079,-25.27618195219574,29.64851735905982,0.1365472401678005,27,19.8,0.271,0.456,0.33,0.786,0.185,0.302,11,0.335,91.1,19.0,39.4,12.2,6.6,27.8,0.04576271186440678,0.01687116564417178,19.6,37.0,17.5,23.0,3.9,20.3,189.0,179.0,212.0,580.0,325.0,461.0,0.8,1.0,-1.3,-0.2,1.2,0.8,0.481,0.481,0.291,0.474,0.58,0.438,32.0,38.9,31.3,24.6,8.3,34.3,0.357,0.325,0.246,0.35,0.418,0.349,0.15107913669064746,-0.010101010101010065,0.0548245614035087,0.06567164179104466,0.39928057553956825,0.8686868686868686,0.0548245614035087,-0.02985074626865674,0.12589928057553956,-0.11616161616161619,-0.36184210526315796,-0.26567164179104485,-0.11510791366906473,0.16161616161616157,0.03947368421052623,0.04477611940298495,-0.7014388489208633,-0.803030303030303,0.27192982456140335,0.2477611940298506,0.23381294964028765,0.025252525252525252,-0.03947368421052635,0.04179104477611927
"Torres, Gleyber",2024.0,665,587,R,70.1,7.2,32.59272946133582,27.26137917766397,26.147849290780087,-36.293985980502455,30.838444500676587,-1.7542849606592237,15,20.5,0.257,0.378,0.33,0.708,0.121,0.306,3,0.313,88.6,15.0,38.2,6.3,6.1,22.9,0.02555366269165247,0.004511278195488722,26.9,17.0,29.8,21.1,13.8,20.2,262.0,195.0,229.0,858.0,426.0,488.0,-1.1,-0.3,-2.3,-0.1,2.5,-0.2,0.281,0.171,0.275,0.382,0.639,0.33,25.4,13.6,33.6,23.5,14.7,29.1,0.233,0.209,0.254,0.337,0.492,0.276,0.1091703056768559,0.31219512195121946,-0.25661375661375657,-0.255591054313099,-0.40611353711790393,-0.17073170731707318,-0.5476190476190476,-0.3322683706070288,0.4672489082969434,0.45365853658536587,-0.27248677248677244,-0.18849840255591052,0.02620087336244548,0.029268292682926897,0.010582010582010592,0.07667731629392978,-0.35807860262008734,-0.3268292682926829,0.6904761904761905,0.5718849840255591,0.27074235807860275,-0.014634146341463448,-0.12698412698412695,-0.11821086261980823
"Giménez, Andrés",2024.0,633,583,L,68.3,7.0,24.2647345293156,28.7804824002252,37.74392939258137,-3.0328799966832207,29.850552508917776,5.585817979602169,9,15.3,0.252,0.34,0.298,0.638,0.088,0.286,15,0.281,86.3,8.7,32.7,2.8,4.4,22.8,0.015437392795883362,0.023696682464454975,7.7,31.7,17.2,12.5,6.3,24.0,256.0,163.0,217.0,743.0,359.0,415.0,1.5,0.0,-0.1,-0.6,-1.3,-2.4,0.459,0.45,0.407,0.401,0.292,0.156,22.7,30.0,26.1,16.4,12.9,33.1,0.365,0.333,0.303,0.331,0.296,0.182,-0.004385964912280764,-0.49673202614379086,0.35,0.2989323843416368,0.3157894736842105,1.0718954248366013,0.32352941176470584,0.1850533807829181,0.1447368421052632,0.12418300653594762,0.1970588235294116,0.07829181494661908,-0.280701754385965,-0.18300653594771246,0.17941176470588233,0.17793594306049818,-0.4342105263157895,-0.5882352941176471,-0.1411764705882354,0.05338078291814931,0.4517543859649123,0.5686274509803921,-0.5411764705882354,-0.35231316725978656
"Castellanos, Nick",2024.0,659,606,R,71.9,7.6,28.63810255694237,27.71520633668324,28.20837955729101,-15.93715323758925,30.9330805683792,2.33287327701116,23,21.1,0.254,0.431,0.311,0.742,0.177,0.294,10,0.321,88.4,15.2,39.0,8.1,6.8,30.1,0.037953795379537955,0.015174506828528073,26.9,22.2,13.6,18.8,12.0,25.5,216.0,185.0,149.0,620.0,342.0,551.0,0.5,-1.7,-0.5,0.0,2.0,-0.5,0.484,0.321,0.429,0.408,0.584,0.349,36.4,28.7,26.4,23.1,17.3,41.1,0.333,0.211,0.291,0.33,0.482,0.28,0.20930232558139525,0.27488151658767757,0.12296983758700694,0.03738317757009349,-0.04651162790697681,0.05213270142180084,-0.25522041763341063,-0.34267912772585674,-0.1229235880398672,-0.3554502369668247,-0.00464037122969838,-0.09345794392523372,-0.23255813953488372,-0.10900473933649292,-0.05336426914153137,0.028037383177570117,-0.42524916943521596,-0.4312796208530806,0.3549883990719257,0.5015576323987538,0.3654485049833887,0.2085308056872037,-0.19025522041763346,-0.12772585669781925
"Witt Jr., Bobby",2024.0,709,636,R,74.7,7.1,28.422945854286223,24.041243070087347,30.490035380391056,-13.298422888474851,29.367064974281032,0.9441191199947953,32,15.0,0.332,0.588,0.389,0.977,0.256,0.354,8,0.41,92.7,15.1,35.7,14.3,5.6,22.3,0.050314465408805034,0.011283497884344146,16.4,20.4,20.3,18.1,7.1,16.2,205.0,192.0,234.0,757.0,387.0,540.0,0.5,1.2,1.0,1.7,3.5,1.2,0.397,0.521,0.538,0.648,0.634,0.484,28.2,26.0,27.7,20.1,8.2,29.7,0.326,0.342,0.416,0.421,0.469,0.379,0.26457399103139007,0.09333333333333324,-0.32482993197278903,-0.20487804878048774,0.16591928251121071,0.35999999999999993,-0.11394557823129244,-0.16585365853658526,0.24215246636771293,0.3533333333333334,-0.08503401360544206,0.01463414634146343,-0.09865470852017934,0.20666666666666675,0.10204081632653071,0.02682926829268295,-0.6322869955156951,-0.5266666666666667,0.07823129251700688,0.14390243902439023,0.33183856502242143,0.07999999999999995,-0.1768707482993197,-0.07560975609756092
"Nimmo, Brandon",2024.0,663,571,L,73.3,7.3,26.61998301733264,31.70349550197525,28.29505588836056,-8.625704497294336,28.69837193491089,2.0783889175782555,23,23.8,0.224,0.399,0.327,0.726,0.175,0.267,12,0.321,91.9,11.2,33.7,9.1,6.5,23.4,0.040280210157618214,0.01809954751131222,21.8,32.7,16.0,22.0,14.5,37.0,209.0,255.0,237.0,1011.0,452.0,365.0,2.5,0.8,1.0,0.8,-1.4,-0.6,0.558,0.413,0.578,0.468,0.282,0.292,31.4,30.9,19.3,17.8,13.6,35.0,0.341,0.292,0.409,0.392,0.28,0.252,0.3418803418803419,-0.08403361344537814,0.3984962406015038,0.06230529595015582,0.32051282051282054,0.37394957983193283,0.0350877192982455,-0.09034267912772594,-0.17521367521367515,-0.3277310924369748,0.4486215538847116,0.2741433021806852,-0.23931623931623924,-0.07563025210084036,0.1729323308270677,0.22118380062305298,-0.41880341880341876,-0.3907563025210084,-0.293233082706767,-0.12772585669781925,0.4957264957264958,0.5546218487394957,-0.268170426065163,-0.2149532710280374
"Ozuna, Marcell",2024.0,688,606,R,74.0,7.4,35.30278451974568,27.50377429062531,31.26858279402849,-24.643915449237053,32.642045114320474,-2.660739405425179,39,24.7,0.302,0.546,0.378,0.924,0.244,0.359,3,0.395,92.1,14.4,40.5,15.5,11.4,31.4,0.06435643564356436,0.00436046511627907,25.4,29.3,22.0,24.3,17.6,31.6,268.0,268.0,227.0,819.0,509.0,433.0,1.3,1.4,3.0,2.0,1.0,1.6,0.5,0.473,0.844,0.599,0.489,0.534,40.8,40.2,38.8,25.8,13.9,40.7,0.384,0.328,0.524,0.446,0.381,0.372,0.29936305732484075,0.02834008097165989,-0.08424908424908432,-0.02784810126582281,0.28025477707006385,0.18623481781376525,-0.1336996336996338,-0.16962025316455698,0.23566878980891717,-0.10931174089068824,0.5457875457875456,0.3265822784810127,-0.17834394904458592,-0.016194331983805613,0.09706959706959695,0.12911392405063288,-0.5573248407643312,-0.28744939271255054,-0.10439560439560448,-0.035443037974683574,0.29617834394904474,0.27935222672064786,-0.021978021978021997,-0.05822784810126587
